author_id,nickname,slug,role,department,role_type,blog,status,profile_version,dossier_path
redacao011-ruido,Ruído,ruido,Jornalista de tecnologia emergente e Termômetro do Hype,Departamento de Antecipação — Sinais Fracos,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/16_ruido.md
redacao011-corte,Corte,corte,Editor da Autópsia da Semana,Departamento de Investigações — Autópsia da Semana,editor,Funcionando Como Projetado,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/17_corte.md
redacao011-fio,Fio,fio,"Jornalista de redes empresariais, fontes e conexões institucionais",Departamento de Investigações — Autópsia da Semana,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/18_fio.md
redacao011-subsolo,Subsolo,subsolo,"Jornalista de história, economia política e concentração de poder",Departamento de Investigações — Autópsia da Semana,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/19_subsolo.md
redacao011-sonda,Sonda,sonda,Jornalista de campo e investigações de longa duração,Departamento de Investigações — Autópsia da Semana,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/20_sonda.md
redacao011-modo,Modo,modo,Editora do Manual de Sobrevivência Digital,Departamento de Autonomia — Manual de Sobrevivência Digital,editor,Configuração Padrão,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/21_modo.md
redacao011-patch,Patch,patch,"Jornalista de sistemas, vulnerabilidades e atualizações",Departamento de Autonomia — Manual de Sobrevivência Digital,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/22_patch.md
redacao011-plano_b,Plano B,plano-b,"Jornalista de continuidade, backups e redução de dependência",Departamento de Autonomia — Manual de Sobrevivência Digital,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/23_plano_b.md
redacao011-chave,Chave,chave,"Jornalista de direitos digitais, criptografia e autonomia pessoal",Departamento de Autonomia — Manual de Sobrevivência Digital,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/24_chave.md
redacao011-trilho,Trilho,trilho,Editor de São Paulo Sob o Capô,Departamento da Megacidade — São Paulo Sob o Capô,editor,A Cidade Cobra Passagem,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/25_trilho.md
redacao011-malu,Malu,malu,"Jornalista de rua, bairros e impacto cotidiano",Departamento da Megacidade — São Paulo Sob o Capô,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/26_malu.md
redacao011-anexo,Anexo,anexo,"Jornalista de concessões, contratos e fiscalização",Departamento da Megacidade — São Paulo Sob o Capô,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/27_anexo.md
redacao011-garoa,Garoa,garoa,"Jornalista de clima urbano, água, energia e resiliência",Departamento da Megacidade — São Paulo Sob o Capô,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/28_garoa.md
redacao011-norte,Norte,norte,"Jornalista de regiões metropolitanas, interior e litoral",Departamento da Megacidade — São Paulo Sob o Capô,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/29_norte.md
redacao011-lock,Lock,lock,Editora de Poder de Plataforma,Departamento de Governança Digital — Poder de Plataforma,editor,Aceite e Prossiga,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/30_lock.md
redacao011-termos,Termos,termos,"Jornalista de políticas, regras e comunicação corporativa",Departamento de Governança Digital — Poder de Plataforma,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/31_termos.md
redacao011-root,Root,root,"Jornalista de software livre, interoperabilidade e alternativas",Departamento de Governança Digital — Poder de Plataforma,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/32_root.md
redacao011-proxy,Proxy,proxy,"Jornalista de dados, vigilância privada e publicidade",Departamento de Governança Digital — Poder de Plataforma,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/33_proxy.md
redacao011-yumi,Yumi,yumi,Editora de Cultura Digital sem Marketing,Departamento de Cultura Digital sem Marketing,editor,Sem Embargo,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/34_yumi.md
redacao011-save,Save,save,"Jornalista de jogos, preservação e dependência de servidores",Departamento de Cultura Digital sem Marketing,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/35_save.md
redacao011-fork,Fork,fork,"Jornalista de software livre, comunidades e governança",Departamento de Cultura Digital sem Marketing,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/36_fork.md
redacao011-vhs,VHS,vhs,"Jornalista de arqueologia digital, mídia e história da internet",Departamento de Cultura Digital sem Marketing,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/37_vhs.md
redacao011-clara,Clara,clara,Editora de Xadrez em Profundidade,Departamento de Xadrez em Profundidade,editor,Quarenta Lances Depois,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/38_clara.md
redacao011-zeit,Zeit,zeit,"Jornalista de partidas, torneios e decisões sob pressão",Departamento de Xadrez em Profundidade,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/39_zeit.md
redacao011-humano,Humano,humano,"Jornalista de engines, preparação e psicologia competitiva",Departamento de Xadrez em Profundidade,jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/40_humano.md
redacao011-intervalo,Intervalo,intervalo,"Editor de dados, modelos e risco","Mesa de Dados, Clima e Mercados",editor,Margem de Erro,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/41_intervalo.md
redacao011-candle,Candle,candle,"Jornalista de mercados, BTC, BNB e câmbio","Mesa de Dados, Clima e Mercados",jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/42_candle.md
redacao011-barometro,Barômetro,barometro,Jornalista de meteorologia e riscos climáticos,"Mesa de Dados, Clima e Mercados",jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/43_barometro.md
redacao011-pulso,Pulso,pulso,"Jornalista de indicadores sociais, econômicos e visualização","Mesa de Dados, Clima e Mercados",jornalista,,ativo,1.0,references/source-materials/redacao_011_dossies_editoriais_v1.0.zip::colaboradores/44_pulso.md
